NUMERO ARBOL,NOMBRE COMUN,ESPECIE CIENTIFICA,ANIO MEDICION,DAP CM,ALTURA M,BIOMASA TOTAL KG,CARBONO TOTAL MG,CO2 EQUIVALENTE MG,ESTADO ARBOL
27,Sacagundí,Senna reticulata,2018,20.8,5.0,0.1032,0.1892,0.1892,Activo
27,Sacagundí,Senna reticulata,2019,20.9,5.0,0.1042,0.1911,0.1911,Activo
28,Sacagundí,Senna reticulata,2018,15.6,5.0,0.0574,0.1052,0.1052,Activo
28,Sacagundí,Senna reticulata,2019,17.8,5.0,0.0751,0.1377,0.1377,Activo
29,Yos,Sapium glandulosum,2018,31.0,9.0,0.3682,0.675,0.675,Activo
29,Yos,Sapium glandulosum,2019,32.7,9.0,0.4105,0.7527,0.7527,Activo
30,Yos,Sapium glandulosum,2018,24.2,9.0,0.2222,0.4073,0.4073,Activo
30,Yos,Sapium glandulosum,2019,25.6,9.0,0.2492,0.4568,0.4568,Activo
31,Yos,Sapium glandulosum,2018,28.6,9.0,0.3124,0.5727,0.5727,Activo
31,Yos,Sapium glandulosum,2019,29.3,9.0,0.3281,0.6017,0.6017,Activo
32,Reina de la noche,Brugmansia arborea,2018,11.4,3.0,0.0136,0.0248,0.0248,Activo
32,Reina de la noche,Brugmansia arborea,2019,12.2,3.0,0.0156,0.0285,0.0285,Activo
33,Sota caballo,Zygia longifolia,2018,11.7,8.0,0.0726,0.1331,0.1331,Activo
33,Sota caballo,Zygia longifolia,2019,12.9,8.0,0.0886,0.1625,0.1625,Activo
34,Sota caballo,Zygia longifolia,2018,11.2,8.0,0.0664,0.1218,0.1218,Activo
34,Sota caballo,Zygia longifolia,2019,12.2,8.0,0.0791,0.145,0.145,Activo
35,Sota caballo,Zygia longifolia,2018,11.0,8.0,0.064,0.1174,0.1174,Activo
35,Sota caballo,Zygia longifolia,2019,11.4,8.0,0.0689,0.1263,0.1263,Activo
36,Sota caballo,Zygia longifolia,2018,12.1,8.0,0.0778,0.1426,0.1426,Activo
36,Sota caballo,Zygia longifolia,2019,13.7,8.0,0.1002,0.1837,0.1837,Activo
37,Guitite,Acnistus arborescens,2018,16.7,5.0,0.0733,0.1343,0.1343,Activo
37,Guitite,Acnistus arborescens,2019,17.5,5.0,0.0806,0.1478,0.1478,Activo
38,Yos,Sapium glandulosum,2018,25.7,7.0,0.2065,0.3786,0.3786,Activo
38,Yos,Sapium glandulosum,2019,26.5,7.0,0.2198,0.403,0.403,Activo
39,Guayaba,Psidium guajava,2018,14.6,7.0,0.0898,0.1646,0.1646,Activo
39,Guayaba,Psidium guajava,2019,15.2,7.0,0.0975,0.1787,0.1787,Activo
40,Guayaba,Psidium guajava,2018,14.6,7.0,0.0898,0.1646,0.1646,Activo
40,Guayaba,Psidium guajava,2019,14.7,7.0,0.091,0.1669,0.1669,Activo
41,Targua,Croton draco,2018,18.3,7.0,0.0918,0.1683,0.1683,Activo
41,Targua,Croton draco,2019,19.0,7.0,0.0991,0.1817,0.1817,Activo
42,Madero negro,Gliricidia sepium,2018,20.3,8.0,0.2014,0.3693,0.3693,Activo
42,Madero negro,Gliricidia sepium,2019,21.0,8.0,0.2158,0.3957,0.3957,Activo
43,Madero negro,Gliricidia sepium,2018,12.1,8.0,0.0701,0.1285,0.1285,Activo
43,Madero negro,Gliricidia sepium,2019,13.2,8.0,0.0837,0.1535,0.1535,Activo
44,Madero negro,Gliricidia sepium,2018,11.7,8.0,0.0655,0.12,0.12,Activo
44,Madero negro,Gliricidia sepium,2019,13.2,8.0,0.0837,0.1535,0.1535,Activo
45,Chilillo,Erythrina berteroana,2018,12.5,7.0,0.0316,0.058,0.058,Activo
45,Chilillo,Erythrina berteroana,2019,14.4,7.0,0.0422,0.0774,0.0774,Activo
46,Chilillo,Erythrina berteroana,2018,12.5,7.0,0.0316,0.058,0.058,Activo
46,Chilillo,Erythrina berteroana,2019,13.8,7.0,0.0387,0.071,0.071,Activo
47,Chilillo,Erythrina berteroana,2018,11.0,7.0,0.0244,0.0447,0.0447,Activo
47,Chilillo,Erythrina berteroana,2019,12.3,7.0,0.0306,0.0561,0.0561,Activo
48,Yos,Sapium glandulosum,2018,30.8,9.0,0.3633,0.6662,0.6662,Activo
48,Yos,Sapium glandulosum,2019,32.8,9.0,0.4131,0.7574,0.7574,Activo
49,Guitite,Acnistus arborescens,2018,19.5,7.0,0.1306,0.2395,0.2395,Activo
49,Guitite,Acnistus arborescens,2019,19.8,7.0,0.1348,0.2471,0.2471,Activo
50,Guitite,Acnistus arborescens,2018,13.3,7.0,0.0599,0.1097,0.1097,Activo
50,Guitite,Acnistus arborescens,2019,13.3,7.0,0.0599,0.1097,0.1097,Activo
51,Guitite,Acnistus arborescens,2018,14.0,7.0,0.0665,0.1218,0.1218,Activo
51,Guitite,Acnistus arborescens,2019,16.3,7.0,0.0906,0.1662,0.1662,Activo
52,Ciprés,Cupressus lusitanica,2018,26.0,8.0,0.2033,0.3728,0.3728,Activo
52,Ciprés,Cupressus lusitanica,2019,31.2,8.0,0.2949,0.5408,0.5408,Activo
53,Casco de venado,Bauhinia purpurea,2018,13.4,5.0,0.0673,0.1235,0.1235,Activo
53,Casco de venado,Bauhinia purpurea,2019,15.2,5.0,0.0871,0.1597,0.1597,Activo
54,Casco de venado,Bauhinia purpurea,2018,13.6,5.0,0.0694,0.1273,0.1273,Activo
54,Casco de venado,Bauhinia purpurea,2019,14.1,5.0,0.0747,0.137,0.137,Activo
55,Casco de venado,Bauhinia purpurea,2018,14.1,5.0,0.0747,0.137,0.137,Activo
55,Casco de venado,Bauhinia purpurea,2019,14.2,5.0,0.0758,0.139,0.139,Activo
56,Casco de venado,Bauhinia purpurea,2018,13.7,5.0,0.0704,0.1292,0.1292,Activo
56,Casco de venado,Bauhinia purpurea,2019,15.9,5.0,0.0955,0.175,0.175,Activo
57,Casco de venado,Bauhinia purpurea,2018,12.9,5.0,0.0623,0.1143,0.1143,Activo
57,Casco de venado,Bauhinia purpurea,2019,13.6,5.0,0.0694,0.1273,0.1273,Activo
58,Isopo,Melaleuca quinquenervia,2018,11.4,5.0,0.0383,0.0703,0.0703,Activo
58,Isopo,Melaleuca quinquenervia,2019,12.0,5.0,0.0426,0.078,0.078,Activo
59,Isopo,Melaleuca quinquenervia,2018,12.6,5.0,0.047,0.0862,0.0862,Activo
59,Isopo,Melaleuca quinquenervia,2019,13.2,5.0,0.0517,0.0948,0.0948,Activo
60,Isopo,Melaleuca quinquenervia,2018,11.4,5.0,0.0383,0.0703,0.0703,Activo
60,Isopo,Melaleuca quinquenervia,2019,12.2,5.0,0.044,0.0807,0.0807,Activo
61,Isopo,Melaleuca quinquenervia,2018,13.8,5.0,0.0566,0.1038,0.1038,Activo
61,Isopo,Melaleuca quinquenervia,2019,15.5,5.0,0.0717,0.1315,0.1315,Activo
62,Isopo,Melaleuca quinquenervia,2018,13.6,5.0,0.0549,0.1007,0.1007,Activo
62,Isopo,Melaleuca quinquenervia,2019,15.2,5.0,0.0689,0.1264,0.1264,Activo
63,Cinamomum triplinervia,Cinnamomum triplinervia,2018,24.7,10.0,0.3464,0.6352,0.6352,Activo
63,Cinamomum triplinervia,Cinnamomum triplinervia,2019,24.7,10.0,0.3464,0.6352,0.6352,Activo
64,Cinamomum triplinervia,Cinnamomum triplinervia,2018,29.4,10.0,0.4942,0.9061,0.9061,Activo
64,Cinamomum triplinervia,Cinnamomum triplinervia,2019,31.2,10.0,0.5579,1.0229,1.0229,Activo
65,Cinamomum triplinervia,Cinnamomum triplinervia,2018,40.2,10.0,0.9356,1.7154,1.7154,Activo
65,Cinamomum triplinervia,Cinnamomum triplinervia,2019,40.6,10.0,0.9547,1.7504,1.7504,Activo
66,Casco de venado,Bauhinia purpurea,2018,15.8,5.0,0.0942,0.1728,0.1728,Activo
66,Casco de venado,Bauhinia purpurea,2019,19.3,5.0,0.1417,0.2599,0.2599,Activo
67,Guitite,Acnistus arborescens,2018,14.7,6.0,0.0651,0.1194,0.1194,Activo
67,Guitite,Acnistus arborescens,2019,15.8,6.0,0.0754,0.1383,0.1383,Activo
68,Limón,Citrus sp,2018,14.0,5.0,0.0798,0.1463,0.1463,Activo
68,Limón,Citrus sp,2019,14.2,5.0,0.0821,0.1505,0.1505,Activo
69,Limón,Citrus sp,2018,14.4,5.0,0.0823,0.1509,0.1509,Activo
69,Limón,Citrus sp,2019,15.0,5.0,0.0895,0.164,0.164,Activo
70,Limón,Citrus sp,2018,16.7,5.0,0.1114,0.2042,0.2042,Activo
70,Limón,Citrus sp,2019,17.2,5.0,0.1183,0.2169,0.2169,Activo
71,Laurel de la india,Ficus retusa,2018,12.7,7.0,0.0556,0.1019,0.1019,Activo
71,Laurel de la india,Ficus retusa,2019,14.8,7.0,0.0759,0.1392,0.1392,Activo
72,Laurel de la india,Ficus retusa,2018,11.7,7.0,0.047,0.0862,0.0862,Activo
72,Laurel de la india,Ficus retusa,2019,17.1,7.0,0.1019,0.1869,0.1869,Activo
73,Laurel de la india,Ficus retusa,2018,11.0,7.0,0.0414,0.076,0.076,Activo
73,Laurel de la india,Ficus retusa,2019,13.5,7.0,0.0629,0.1154,0.1154,Activo
74,Grevilea,Grevillea robusta,2018,21.1,5.0,0.1157,0.2121,0.2121,Activo
74,Grevilea,Grevillea robusta,2019,22.6,5.0,0.1331,0.244,0.244,Activo
75,Grevilea,Grevillea robusta,2018,26.7,5.0,0.187,0.3429,0.3429,Activo
75,Grevilea,Grevillea robusta,2019,27.0,5.0,0.1913,0.3508,0.3508,Activo
76,Lorito,Cojoba arborea,2018,38.2,9.0,0.6263,1.1484,1.1484,Activo
76,Lorito,Cojoba arborea,2019,39.1,9.0,0.6568,1.2043,1.2043,Activo
77,Lorito,Cojoba arborea,2018,40.0,9.0,0.688,1.2615,1.2615,Activo
77,Lorito,Cojoba arborea,2019,42.4,9.0,0.7749,1.4207,1.4207,Activo
78,Lorito,Cojoba arborea,2018,28.8,9.0,0.352,0.6454,0.6454,Activo
78,Lorito,Cojoba arborea,2019,30.2,9.0,0.3878,0.7111,0.7111,Activo
79,Grevilea,Grevillea robusta,2018,31.8,5.0,0.2671,0.4898,0.4898,Activo
79,Grevilea,Grevillea robusta,2019,31.8,5.0,0.2671,0.4898,0.4898,Activo
80,Lorito,Cojoba arborea,2018,85.0,12.0,4.0059,7.3448,7.3448,Activo
80,Lorito,Cojoba arborea,2019,87.5,12.0,4.2499,7.7922,7.7922,Activo
81,Jacaranda,Jacaranda mimosifolia,2018,46.5,12.0,1.3342,2.4463,2.4463,Activo
81,Jacaranda,Jacaranda mimosifolia,2019,48.3,12.0,1.4417,2.6433,2.6433,Activo
82,Roble sabana,Tabebuia rosea,2018,42.3,11.0,0.8656,1.587,1.587,Activo
82,Roble sabana,Tabebuia rosea,2019,42.5,11.0,0.8739,1.6023,1.6023,Activo
83,Jacaranda,Jacaranda mimosifolia,2018,56.2,11.0,1.835,3.3645,3.3645,Activo
83,Jacaranda,Jacaranda mimosifolia,2019,56.8,11.0,1.8752,3.4382,3.4382,Activo
84,Orgullo de la india,Lagerstroemia speciosa,2018,22.8,7.0,0.1977,0.3625,0.3625,Activo
84,Orgullo de la india,Lagerstroemia speciosa,2019,24.1,7.0,0.2214,0.4059,0.4059,Activo
85,Orgullo de la india,Lagerstroemia speciosa,2018,20.3,7.0,0.156,0.286,0.286,Activo
85,Orgullo de la india,Lagerstroemia speciosa,2019,21.8,7.0,0.1804,0.3308,0.3308,Activo
86,Orgullo de la india,Lagerstroemia speciosa,2018,17.2,7.0,0.1112,0.204,0.204,Activo
86,Orgullo de la india,Lagerstroemia speciosa,2019,18.3,7.0,0.1262,0.2315,0.2315,Activo
87,Manazana de agua,Syzygium malaccense,2018,27.0,7.0,0.3146,0.5769,0.5769,Activo
87,Manazana de agua,Syzygium malaccense,2019,28.8,7.0,0.3589,0.6581,0.6581,Activo
88,Quizarra caca,,2018,23.5,7.0,0.1147,0.2103,0.2103,Activo
88,Quizarra caca,,2019,26.0,7.0,0.141,0.2585,0.2585,Activo
89,Uruca,Trichilia havanensis,2018,11.0,7.0,0.0463,0.0849,0.0849,Activo
89,Uruca,Trichilia havanensis,2019,12.4,7.0,0.0591,0.1084,0.1084,Activo
90,Uruca,Trichilia havanensis,2018,10.8,7.0,0.0446,0.0818,0.0818,Activo
90,Uruca,Trichilia havanensis,2019,12.4,7.0,0.0591,0.1084,0.1084,Activo
91,Uruca,Trichilia havanensis,2018,10.2,6.0,0.0352,0.0646,0.0646,Activo
91,Uruca,Trichilia havanensis,2019,12.5,6.0,0.0533,0.0978,0.0978,Activo
92,Targua,Croton draco,2018,15.8,6.0,0.0603,0.1106,0.1106,Activo
92,Targua,Croton draco,2019,18.5,6.0,0.0833,0.1526,0.1526,Activo
93,Targua,Croton draco,2018,13.3,6.0,0.0425,0.0779,0.0779,Activo
93,Targua,Croton draco,2019,14.3,6.0,0.0492,0.0903,0.0903,Activo
94,Targua,Croton draco,2018,12.0,5.0,0.0299,0.0548,0.0548,Activo
94,Targua,Croton draco,2019,13.5,5.0,0.038,0.0696,0.0696,Activo
95,Targua,Croton draco,2018,10.2,7.0,0.0279,0.0511,0.0511,Activo
95,Targua,Croton draco,2019,12.0,7.0,0.0388,0.0712,0.0712,Activo
96,Targua,Croton draco,2018,17.5,7.0,0.0838,0.1537,0.1537,Activo
96,Targua,Croton draco,2019,19.8,7.0,0.1078,0.1977,0.1977,Activo
97,Guitite,Acnistus arborescens,2018,13.0,7.0,0.0571,0.1048,0.1048,Activo
97,Guitite,Acnistus arborescens,2019,13.0,7.0,0.0571,0.1048,0.1048,Activo
98,Guitite,Acnistus arborescens,2018,35.7,6.0,0.3978,0.7294,0.7294,Activo
98,Guitite,Acnistus arborescens,2019,35.7,6.0,0.3978,0.7294,0.7294,Activo
99,Ron-ron,Astronium graveolens,2018,14.8,7.0,0.1087,0.1993,0.1993,Activo
99,Ron-ron,Astronium graveolens,2019,17.2,7.0,0.1477,0.2707,0.2707,Activo
100,Ron-ron,Astronium graveolens,2018,15.4,7.0,0.1179,0.2161,0.2161,Activo
100,Ron-ron,Astronium graveolens,2019,17.8,7.0,0.1584,0.2903,0.2903,Activo
101,Casco de venado,Bauhinia purpurea,2018,18.5,6.0,0.1499,0.2748,0.2748,Activo
101,Casco de venado,Bauhinia purpurea,2019,18.5,6.0,0.1499,0.2748,0.2748,Activo
102,Casco de venado,Bauhinia purpurea,2018,14.0,6.0,0.0849,0.1556,0.1556,Activo
102,Casco de venado,Bauhinia purpurea,2019,21.3,6.0,0.1998,0.3663,0.3663,Activo
103,Ciprés,Cupressus lusitanica,2018,23.7,7.0,0.1517,0.2781,0.2781,Activo
103,Ciprés,Cupressus lusitanica,2019,26.8,7.0,0.1949,0.3574,0.3574,Activo
104,Guarumo,Cecropia peltata,2018,19.0,11.0,0.1022,0.1874,0.1874,Activo
104,Guarumo,Cecropia peltata,2019,23.4,11.0,0.1563,0.2866,0.2866,Activo
105,Cinamomum triplinervia,Cinnamomum triplinervia,2018,58.8,9.0,1.8721,3.4325,3.4325,Activo
105,Cinamomum triplinervia,Cinnamomum triplinervia,2019,61.1,9.0,2.0245,3.7119,3.7119,Activo
106,Roble sabana,Tabebuia rosea,2018,45.7,10.0,0.9409,1.7251,1.7251,Activo
106,Roble sabana,Tabebuia rosea,2019,48.8,10.0,1.0757,1.9723,1.9723,Activo
107,Grevilea,Grevillea robusta,2018,37.0,12.0,0.7196,1.3194,1.3194,Activo
107,Grevilea,Grevillea robusta,2019,37.9,12.0,0.7558,1.3857,1.3857,Activo
108,Grevilea,Grevillea robusta,2018,60.0,12.0,1.9291,3.537,3.537,Activo
108,Grevilea,Grevillea robusta,2019,60.8,12.0,1.9819,3.6339,3.6339,Activo
109,Lorito,Cojoba arborea,2018,15.2,10.0,0.1038,0.1903,0.1903,Activo
109,Lorito,Cojoba arborea,2019,15.8,10.0,0.1123,0.2059,0.2059,Activo
110,Lorito,Cojoba arborea,2018,18.0,10.0,0.1465,0.2686,0.2686,Activo
110,Lorito,Cojoba arborea,2019,18.1,10.0,0.1482,0.2717,0.2717,Activo
120,Lorito,Cojoba arborea,2018,18.0,5.0,0.0854,0.1565,0.1565,Activo
120,Lorito,Cojoba arborea,2019,21.2,5.0,0.1192,0.2186,0.2186,Activo
121,Aguacate,Persea americana,2018,20.3,7.0,0.1702,0.312,0.312,Activo
121,Aguacate,Persea americana,2019,21.5,7.0,0.1913,0.3508,0.3508,Activo
122,Mango,Mangifera indica,2018,16.3,6.0,0.0884,0.1621,0.1621,Activo
122,Mango,Mangifera indica,2019,16.3,6.0,0.0884,0.1621,0.1621,Activo
123,Mango,Mangifera indica,2018,21.0,6.0,0.1482,0.2718,0.2718,Activo
123,Mango,Mangifera indica,2019,21.0,6.0,0.1482,0.2718,0.2718,Activo
124,Guitite,Acnistus arborescens,2018,16.7,2.0,0.0359,0.0658,0.0658,Activo
124,Guitite,Acnistus arborescens,2019,16.8,2.0,0.0363,0.0666,0.0666,Activo
125,Guitite,Acnistus arborescens,2018,23.5,4.0,0.1236,0.2266,0.2266,Activo
125,Guitite,Acnistus arborescens,2019,23.7,4.0,0.1258,0.2306,0.2306,Activo
126,Casco de venado,Bauhinia purpurea,2018,22.7,4.0,0.1659,0.3041,0.3041,Activo
126,Casco de venado,Bauhinia purpurea,2019,23.5,4.0,0.178,0.3264,0.3264,Activo
127,Casco de venado,Bauhinia purpurea,2018,23.0,4.0,0.1704,0.3124,0.3124,Activo
127,Casco de venado,Bauhinia purpurea,2019,23.5,4.0,0.178,0.3264,0.3264,Activo
128,Casco de venado,Bauhinia purpurea,2018,13.1,4.0,0.054,0.0991,0.0991,Activo
128,Casco de venado,Bauhinia purpurea,2019,13.6,4.0,0.0583,0.1069,0.1069,Activo
129,Guachipelin,Diphysa americana,2018,15.2,8.0,0.1709,0.3134,0.3134,Activo
129,Guachipelin,Diphysa americana,2019,15.2,8.0,0.1709,0.3134,0.3134,Activo
130,Guachipelin,Diphysa americana,2018,11.2,8.0,0.0917,0.1681,0.1681,Activo
130,Guachipelin,Diphysa americana,2019,11.2,8.0,0.0917,0.1681,0.1681,Activo
131,Guachipelin,Diphysa americana,2018,30.2,8.0,0.6935,1.2715,1.2715,Activo
131,Guachipelin,Diphysa americana,2019,30.5,8.0,0.7076,1.2974,1.2974,Activo
132,Guachipelin,Diphysa americana,2018,26.8,8.0,0.5435,0.9966,0.9966,Activo
132,Guachipelin,Diphysa americana,2019,26.8,8.0,0.5435,0.9966,0.9966,Activo
133,Guachipelin,Diphysa americana,2018,44.8,8.0,1.5503,2.8424,2.8424,Activo
133,Guachipelin,Diphysa americana,2019,45.3,8.0,1.5858,2.9075,2.9075,Activo
134,Guanacaste,Enterolobium cyclocarpum,2018,98.0,12.0,5.3552,9.8187,9.8187,Activo
134,Guanacaste,Enterolobium cyclocarpum,2019,98.0,12.0,5.3552,9.8187,9.8187,Activo
135,Guanacaste,Enterolobium cyclocarpum,2018,52.7,12.0,1.5108,2.77,2.77,Activo
135,Guanacaste,Enterolobium cyclocarpum,2019,54.0,12.0,1.5878,2.9112,2.9112,Activo
136,Guanacaste,Enterolobium cyclocarpum,2018,37.2,12.0,0.7424,1.3612,1.3612,Activo
136,Guanacaste,Enterolobium cyclocarpum,2019,39.0,12.0,0.8175,1.4989,1.4989,Activo
137,Caña fistula,Cassia fistula,2018,21.9,2.0,0.0923,0.1693,0.1693,Activo
137,Caña fistula,Cassia fistula,2019,22.2,2.0,0.0949,0.1741,0.1741,Activo
138,Caña fistula,Cassia fistula,2018,15.5,2.0,0.0456,0.0836,0.0836,Activo
138,Caña fistula,Cassia fistula,2019,15.8,2.0,0.0474,0.087,0.087,Activo
139,Guanacaste,Enterolobium cyclocarpum,2018,70.0,10.0,2.3389,4.2884,4.2884,Activo
139,Guanacaste,Enterolobium cyclocarpum,2019,74.7,10.0,2.6704,4.8962,4.8962,Activo
140,Guayaba,Psidium guajava,2018,11.2,6.0,0.0464,0.085,0.085,Activo
140,Guayaba,Psidium guajava,2019,12.8,6.0,0.0609,0.1116,0.1116,Activo
141,Guachipelin,Diphysa americana,2018,22.0,9.0,0.3983,0.7303,0.7303,Activo
141,Guachipelin,Diphysa americana,2019,22.9,9.0,0.4323,0.7926,0.7926,Activo
142,Guachipelin,Diphysa americana,2018,27.2,9.0,0.614,1.1259,1.1259,Activo
142,Guachipelin,Diphysa americana,2019,27.2,9.0,0.614,1.1259,1.1259,Activo
143,Cocobolo,Dalbergia retusa,2018,16.6,7.0,0.1618,0.2967,0.2967,Activo
143,Cocobolo,Dalbergia retusa,2019,17.0,7.0,0.1699,0.3114,0.3114,Activo
144,Guachipelin,Diphysa americana,2018,39.2,9.0,1.2941,2.3727,2.3727,Activo
144,Guachipelin,Diphysa americana,2019,39.8,9.0,1.3348,2.4474,2.4474,Activo
145,Guachipelin,Diphysa americana,2018,31.9,9.0,0.85,1.5584,1.5584,Activo
145,Guachipelin,Diphysa americana,2019,32.7,9.0,0.894,1.6392,1.6392,Activo
146,Manzana rosa,Syzygium jambos,2018,13.7,6.0,0.0789,0.1447,0.1447,Activo
146,Manzana rosa,Syzygium jambos,2019,13.7,6.0,0.0789,0.1447,0.1447,Activo
147,Manzana rosa,Syzygium jambos,2018,14.4,6.0,0.0874,0.1602,0.1602,Activo
147,Manzana rosa,Syzygium jambos,2019,14.4,6.0,0.0874,0.1602,0.1602,Activo
148,Uruca,Trichilia havanensis,2018,12.0,6.0,0.0491,0.09,0.09,Activo
148,Uruca,Trichilia havanensis,2019,12.0,6.0,0.0491,0.09,0.09,Activo
149,Roble sabana,Tabebuia rosea,2018,53.5,11.0,1.3976,2.5625,2.5625,Activo
149,Roble sabana,Tabebuia rosea,2019,54.3,11.0,1.4406,2.6413,2.6413,Activo
150,Jacaranda,Jacaranda mimosifolia,2018,27.5,11.0,0.427,0.783,0.783,Activo
150,Jacaranda,Jacaranda mimosifolia,2019,28.5,11.0,0.4593,0.8421,0.8421,Activo
152,Jacaranda,Jacaranda mimosifolia,2018,48.2,12.0,1.4356,2.6322,2.6322,Activo
152,Jacaranda,Jacaranda mimosifolia,2019,48.8,12.0,1.4723,2.6995,2.6995,Activo
153,Mango,Mangifera indica,2018,14.1,6.0,0.0658,0.1206,0.1206,Activo
153,Mango,Mangifera indica,2019,14.5,6.0,0.0696,0.1277,0.1277,Activo
154,Mango,Mangifera indica,2018,15.9,6.0,0.084,0.1541,0.1541,Activo
154,Mango,Mangifera indica,2019,16.2,6.0,0.0873,0.1601,0.1601,Activo
155,Mango,Mangifera indica,2018,27.6,6.0,0.2589,0.4747,0.4747,Activo
